Gender,Married,Dependents,Education,Self_Employed,Applicant_Income,Coapplicant_Income,Loan_Amount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_Income,Full_Loan_Amount,Monthly_Payment,Debt_To_Income_Ratio,Gender_N,Married_N,Self_Employed_N,Education_N,Loan_Status_N
Female,No,0,Graduate,No,2378,0.0,9,360,1,Urban,N,2378.0,9000,25.0,1.05,0,0,0,1,0
Male,Yes,2,Graduate,No,1299,1086.0,17,120,1,Urban,Y,2385.0,17000,141.67,5.94,1,1,0,1,1
Male,No,0,Not Graduate,No,3620,0.0,25,120,1,Semiurban,Y,3620.0,25000,208.33,5.75,1,0,0,0,1
Male,Yes,0,Graduate,Yes,3459,0.0,25,120,1,Semiurban,Y,3459.0,25000,208.33,6.02,1,1,1,1,1
Male,Yes,1,Graduate,No,5468,1032.0,26,360,1,Semiurban,Y,6500.0,26000,72.22,1.11,1,1,0,1,1
Male,Yes,1,Graduate,No,1538,1425.0,30,360,1,Urban,Y,2963.0,30000,83.33,2.81,1,1,0,1,1
Female,No,0,Graduate,No,3237,0.0,30,360,1,Urban,Y,3237.0,30000,83.33,2.57,0,0,0,1,1
Male,No,0,Not Graduate,No,1442,0.0,35,360,1,Urban,N,1442.0,35000,97.22,6.74,1,0,0,0,0
Female,Yes,0,Graduate,No,3166,0.0,36,360,1,Semiurban,Y,3166.0,36000,100.0,3.16,0,1,0,1,1
Female,No,1,Graduate,No,13262,0.0,40,360,1,Urban,Y,13262.0,40000,111.11,0.84,0,0,0,1,1
Male,Yes,4,Graduate,No,4106,0.0,40,180,1,Rural,Y,4106.0,40000,222.22,5.41,1,1,0,1,1
Male,Yes,0,Graduate,No,3716,0.0,42,180,1,Rural,Y,3716.0,42000,233.33,6.28,1,1,0,1,1
Male,Yes,1,Graduate,No,5649,0.0,44,360,1,Urban,Y,5649.0,44000,122.22,2.16,1,1,0,1,1
Female,No,0,Graduate,No,4166,0.0,44,360,1,Semiurban,Y,4166.0,44000,122.22,2.93,0,0,0,1,1
Male,Yes,2,Not Graduate,No,2889,0.0,45,180,0,Urban,N,2889.0,45000,250.0,8.65,1,1,0,0,0
Male,Yes,2,Not Graduate,No,2192,1742.0,45,360,1,Semiurban,Y,3934.0,45000,125.0,3.18,1,1,0,0,1
Female,No,0,Graduate,No,2378,0.0,46,360,1,Rural,N,2378.0,46000,127.78,5.37,0,0,0,1,0
Male,No,0,Graduate,No,1800,1213.0,47,360,1,Urban,Y,3013.0,47000,130.56,4.33,1,0,0,1,1
Male,No,0,Not Graduate,No,4885,0.0,48,360,1,Rural,Y,4885.0,48000,133.33,2.73,1,0,0,0,1
Male,Yes,1,Graduate,No,3988,0.0,50,240,1,Urban,Y,3988.0,50000,208.33,5.22,1,1,0,1,1
Male,Yes,0,Graduate,No,1977,997.0,50,360,1,Semiurban,Y,2974.0,50000,138.89,4.67,1,1,0,1,1
Male,No,0,Graduate,No,3254,0.0,50,360,1,Urban,Y,3254.0,50000,138.89,4.27,1,0,0,1,1
Male,No,0,Graduate,No,1926,1851.0,50,360,1,Semiurban,Y,3777.0,50000,138.89,3.68,1,0,0,1,1
Female,No,0,Not Graduate,No,1963,0.0,53,360,1,Semiurban,Y,1963.0,53000,147.22,7.5,0,0,0,0,1
Female,No,0,Graduate,No,1811,1666.0,54,360,1,Urban,Y,3477.0,54000,150.0,4.31,0,0,0,1,1
Male,No,0,Not Graduate,No,3975,2531.0,55,360,1,Rural,Y,6506.0,55000,152.78,2.35,1,0,0,0,1
Female,No,0,Graduate,Yes,15759,0.0,55,360,1,Semiurban,Y,15759.0,55000,152.78,0.97,0,0,1,1,1
Male,Yes,0,Graduate,No,3539,1376.0,55,360,1,Rural,N,4915.0,55000,152.78,3.11,1,1,0,1,0
Male,No,0,Graduate,No,2500,0.0,55,360,1,Semiurban,Y,2500.0,55000,152.78,6.11,1,0,0,1,1
Female,No,0,Graduate,No,2507,0.0,56,360,1,Rural,Y,2507.0,56000,155.56,6.21,0,0,0,1,1
Male,Yes,0,Graduate,No,3000,3416.0,56,180,1,Semiurban,Y,6416.0,56000,311.11,4.85,1,1,0,1,1
Male,Yes,0,Graduate,No,2383,2138.0,58,360,1,Rural,Y,4521.0,58000,161.11,3.56,1,1,0,1,1
Male,No,0,Graduate,No,2479,0.0,59,360,1,Urban,Y,2479.0,59000,163.89,6.61,1,0,0,1,1
Male,Yes,0,Graduate,No,2221,0.0,60,360,0,Urban,N,2221.0,60000,166.67,7.5,1,1,0,1,0
Female,No,0,Graduate,No,2995,0.0,60,360,1,Urban,Y,2995.0,60000,166.67,5.56,0,0,0,1,1
Male,No,0,Not Graduate,No,2717,0.0,60,180,1,Urban,Y,2717.0,60000,333.33,12.27,1,0,0,0,1
Male,Yes,2,Not Graduate,No,1958,1456.0,60,300,1,Urban,Y,3414.0,60000,200.0,5.86,1,1,0,0,1
Male,Yes,1,Graduate,No,1880,0.0,61,360,1,Rural,N,1880.0,61000,169.44,9.01,1,1,0,1,0
Female,No,1,Not Graduate,Yes,3867,0.0,62,360,1,Semiurban,N,3867.0,62000,172.22,4.45,0,0,1,0,0
Male,No,0,Graduate,No,2237,0.0,63,480,0,Semiurban,N,2237.0,63000,131.25,5.87,1,0,0,1,0
Male,No,0,Not Graduate,No,2755,0.0,65,300,1,Rural,N,2755.0,65000,216.67,7.86,1,0,0,0,0
Male,Yes,0,Graduate,Yes,3000,0.0,66,360,1,Urban,Y,3000.0,66000,183.33,6.11,1,1,1,1,1
Male,Yes,1,Graduate,Yes,2178,0.0,66,300,0,Rural,N,2178.0,66000,220.0,10.1,1,1,1,1,0
Female,No,0,Not Graduate,No,2213,0.0,66,360,1,Rural,Y,2213.0,66000,183.33,8.28,0,0,0,0,1
Male,Yes,0,Not Graduate,No,2917,536.0,66,360,1,Rural,N,3453.0,66000,183.33,5.31,1,1,0,0,0
Male,No,0,Graduate,No,1916,5063.0,67,360,1,Rural,N,6979.0,67000,186.11,2.67,1,0,0,1,0
Female,No,0,Graduate,No,2500,0.0,67,360,1,Urban,Y,2500.0,67000,186.11,7.44,0,0,0,1,1
Male,Yes,1,Graduate,No,3875,0.0,67,360,1,Urban,N,3875.0,67000,186.11,4.8,1,1,0,1,0
Male,Yes,2,Graduate,No,3200,700.0,70,360,1,Urban,Y,3900.0,70000,194.44,4.99,1,1,0,1,1
Male,No,0,Graduate,No,2718,0.0,70,360,1,Semiurban,Y,2718.0,70000,194.44,7.15,1,0,0,1,1
Female,Yes,2,Graduate,No,14866,0.0,70,360,1,Urban,Y,14866.0,70000,194.44,1.31,0,1,0,1,1
Male,Yes,2,Graduate,Yes,5503,4490.0,70,360,1,Semiurban,Y,9993.0,70000,194.44,1.95,1,1,1,1,1
Male,Yes,4,Not Graduate,No,2947,1664.0,70,180,0,Urban,N,4611.0,70000,388.89,8.43,1,1,0,0,0
Male,Yes,0,Graduate,No,2130,6666.0,70,180,1,Semiurban,N,8796.0,70000,388.89,4.42,1,1,0,1,0
Male,No,0,Graduate,No,3333,0.0,70,360,1,Urban,Y,3333.0,70000,194.44,5.83,1,0,0,1,1
Female,No,0,Not Graduate,No,2165,0.0,70,360,1,Semiurban,Y,2165.0,70000,194.44,8.98,0,0,0,0,1
Male,No,0,Graduate,No,2833,0.0,71,360,1,Urban,Y,2833.0,71000,197.22,6.96,1,0,0,1,1
Female,No,0,Graduate,No,4160,0.0,71,360,1,Semiurban,Y,4160.0,71000,197.22,4.74,0,0,0,1,1
Male,No,0,Graduate,No,3069,0.0,71,480,1,Urban,N,3069.0,71000,147.92,4.82,1,0,0,1,0
Female,No,0,Graduate,No,3180,0.0,71,360,0,Urban,N,3180.0,71000,197.22,6.2,0,0,0,1,0
Female,No,0,Graduate,No,2900,0.0,71,360,1,Rural,Y,2900.0,71000,197.22,6.8,0,0,0,1,1
Male,Yes,2,Graduate,No,5000,0.0,72,360,0,Semiurban,N,5000.0,72000,200.0,4.0,1,1,0,1,0
Male,Yes,0,Graduate,No,4600,0.0,73,180,1,Semiurban,Y,4600.0,73000,405.56,8.82,1,1,0,1,1
Male,No,0,Graduate,No,3167,0.0,74,360,1,Urban,N,3167.0,74000,205.56,6.49,1,0,0,1,0
Male,No,0,Graduate,No,2014,1929.0,74,360,1,Urban,Y,3943.0,74000,205.56,5.21,1,0,0,1,1
Male,Yes,4,Not Graduate,No,3173,0.0,74,360,1,Semiurban,Y,3173.0,74000,205.56,6.48,1,1,0,0,1
Male,Yes,0,Graduate,No,2400,0.0,75,360,1,Urban,Y,2400.0,75000,208.33,8.68,1,1,0,1,1
Male,Yes,0,Graduate,No,9323,0.0,75,180,1,Urban,Y,9323.0,75000,416.67,4.47,1,1,0,1,1
Male,No,0,Graduate,No,2435,0.0,75,360,1,Urban,N,2435.0,75000,208.33,8.56,1,0,0,1,0
Female,No,0,Graduate,No,3510,0.0,76,360,0,Urban,N,3510.0,76000,211.11,6.01,0,0,0,1,0
Male,No,0,Graduate,No,3858,0.0,76,360,1,Semiurban,Y,3858.0,76000,211.11,5.47,1,0,0,1,1
Male,Yes,2,Graduate,No,2301,985.7999878,78,180,1,Urban,Y,3286.7999878,78000,433.33,13.18,1,1,0,1,1
Male,No,0,Graduate,No,3600,0.0,80,360,1,Urban,N,3600.0,80000,222.22,6.17,1,0,0,1,0
Female,No,0,Graduate,No,3244,0.0,80,360,1,Urban,Y,3244.0,80000,222.22,6.85,0,0,0,1,1
Male,Yes,0,Graduate,No,3103,1300.0,80,360,1,Urban,Y,4403.0,80000,222.22,5.05,1,1,0,1,1
Female,No,0,Not Graduate,No,2720,0.0,80,120,0,Urban,N,2720.0,80000,666.67,24.51,0,0,0,0,0
Male,No,2,Graduate,No,3547,0.0,80,360,0,Rural,N,3547.0,80000,222.22,6.27,1,0,0,1,0
Male,No,0,Not Graduate,No,3358,0.0,80,36,1,Semiurban,N,3358.0,80000,2222.22,66.18,1,0,0,0,0
Male,No,0,Graduate,No,3500,0.0,81,300,1,Semiurban,Y,3500.0,81000,270.0,7.71,1,0,0,1,1
Male,Yes,2,Not Graduate,No,3273,1820.0,81,360,1,Urban,Y,5093.0,81000,225.0,4.42,1,1,0,0,1
Male,Yes,2,Graduate,No,2957,0.0,81,360,1,Semiurban,Y,2957.0,81000,225.0,7.61,1,1,0,1,1
Male,Yes,4,Not Graduate,No,3522,0.0,81,180,1,Rural,N,3522.0,81000,450.0,12.78,1,1,0,0,0
Female,No,1,Graduate,No,4723,0.0,81,360,1,Semiurban,N,4723.0,81000,225.0,4.76,0,0,0,1,0
Female,No,1,Not Graduate,No,4606,0.0,81,360,1,Rural,N,4606.0,81000,225.0,4.88,0,0,0,0,0
Male,No,0,Graduate,Yes,11000,0.0,83,360,1,Urban,N,11000.0,83000,230.56,2.1,1,0,1,1,0
Female,Yes,0,Graduate,No,4583,0.0,84,360,1,Rural,N,4583.0,84000,233.33,5.09,0,1,0,1,0
Female,No,0,Graduate,No,2917,0.0,84,360,1,Semiurban,Y,2917.0,84000,233.33,8.0,0,0,0,1,1
Male,No,0,Graduate,Yes,7085,0.0,84,360,1,Semiurban,Y,7085.0,84000,233.33,3.29,1,0,1,1,1
Female,No,0,Graduate,No,2667,1625.0,84,360,1,Urban,Y,4292.0,84000,233.33,5.44,0,0,0,1,1
Male,Yes,1,Graduate,No,2214,1398.0,85,360,1,Urban,Y,3612.0,85000,236.11,6.54,1,1,0,1,1
Male,Yes,1,Graduate,Yes,16667,2250.0,86,360,1,Semiurban,Y,18917.0,86000,238.89,1.26,1,1,1,1,1
Male,Yes,0,Not Graduate,Yes,4344,736.0,87,360,1,Semiurban,N,5080.0,87000,241.67,4.76,1,1,1,0,0
Male,Yes,0,Graduate,No,2920,16.12000084,87,360,1,Rural,Y,2936.12000084,87000,241.67,8.23,1,1,0,1,1
Female,No,0,Graduate,No,3410,0.0,88,120,1,Urban,Y,3410.0,88000,733.33,21.51,0,0,0,1,1
Male,Yes,2,Graduate,Yes,3316,3500.0,88,360,1,Urban,Y,6816.0,88000,244.44,3.59,1,1,1,1,1
Male,Yes,0,Graduate,No,2058,2134.0,88,360,1,Urban,Y,4192.0,88000,244.44,5.83,1,1,0,1,1
Male,No,0,Graduate,No,2987,0.0,88,360,0,Semiurban,N,2987.0,88000,244.44,8.18,1,0,0,1,0
Male,No,0,Graduate,No,3158,3053.0,89,360,1,Rural,Y,6211.0,89000,247.22,3.98,1,0,0,1,1
Male,Yes,1,Not Graduate,No,2600,2500.0,90,360,1,Semiurban,Y,5100.0,90000,250.0,4.9,1,1,0,0,1
Male,Yes,0,Graduate,No,1809,1868.0,90,360,1,Urban,Y,3677.0,90000,250.0,6.8,1,1,0,1,1
Female,No,1,Graduate,No,2876,1560.0,90,360,1,Urban,Y,4436.0,90000,250.0,5.64,0,0,0,1,1
Male,Yes,2,Graduate,No,3900,0.0,90,360,1,Semiurban,Y,3900.0,90000,250.0,6.41,1,1,0,1,1
Male,Yes,0,Graduate,No,2483,2466.0,90,180,0,Rural,Y,4949.0,90000,500.0,10.1,1,1,0,1,1
Male,No,0,Graduate,No,1836,33837.0,90,360,1,Urban,N,35673.0,90000,250.0,0.7,1,0,0,1,0
Female,No,0,Graduate,No,3692,0.0,93,360,1,Rural,Y,3692.0,93000,258.33,7.0,0,0,0,1,1
Male,Yes,0,Not Graduate,No,1800,2934.0,93,360,0,Urban,N,4734.0,93000,258.33,5.46,1,1,0,0,0
Female,No,0,Graduate,Yes,2500,0.0,93,360,1,Urban,Y,2500.0,93000,258.33,10.33,0,0,1,1,1
Male,Yes,4,Not Graduate,No,2071,754.0,94,480,1,Semiurban,Y,2825.0,94000,195.83,6.93,1,1,0,0,1
Male,Yes,4,Graduate,No,5250,0.0,94,360,1,Urban,N,5250.0,94000,261.11,4.97,1,1,0,1,0
Male,No,1,Not Graduate,No,2679,1302.0,94,360,1,Semiurban,Y,3981.0,94000,261.11,6.56,1,0,0,0,1
Male,No,0,Graduate,No,4750,0.0,94,360,1,Semiurban,Y,4750.0,94000,261.11,5.5,1,0,0,1,1
Male,Yes,0,Not Graduate,No,2333,1516.0,95,360,1,Urban,Y,3849.0,95000,263.89,6.86,1,1,0,0,1
Male,Yes,4,Not Graduate,No,4755,0.0,95,120,0,Semiurban,N,4755.0,95000,791.67,16.65,1,1,0,0,0
Male,Yes,0,Not Graduate,Yes,1820,1769.0,95,360,1,Rural,Y,3589.0,95000,263.89,7.35,1,1,1,0,1
Male,Yes,4,Graduate,No,2666,2083.0,95,360,1,Rural,Y,4749.0,95000,263.89,5.56,1,1,0,1,1
Male,Yes,0,Graduate,No,3013,3033.0,95,300,1,Urban,Y,6046.0,95000,316.67,5.24,1,1,0,1,1
Male,Yes,0,Graduate,No,3033,1459.0,95,360,1,Urban,Y,4492.0,95000,263.89,5.87,1,1,0,1,1
Male,Yes,1,Graduate,Yes,2895,0.0,95,360,1,Semiurban,Y,2895.0,95000,263.89,9.12,1,1,1,1,1
Female,No,0,Not Graduate,No,3400,0.0,95,360,1,Rural,N,3400.0,95000,263.89,7.76,0,0,0,0,0
Female,No,1,Graduate,No,3652,0.0,95,360,1,Semiurban,Y,3652.0,95000,263.89,7.23,0,0,0,1,1
Male,Yes,0,Not Graduate,Yes,4695,0.0,96,120,1,Urban,Y,4695.0,96000,800.0,17.04,1,1,1,0,1
Male,Yes,0,Graduate,No,2132,1591.0,96,360,1,Semiurban,Y,3723.0,96000,266.67,7.16,1,1,0,1,1
Male,Yes,1,Graduate,No,3315,0.0,96,360,1,Semiurban,Y,3315.0,96000,266.67,8.04,1,1,0,1,1
Male,Yes,1,Graduate,No,1625,1803.0,96,360,1,Urban,Y,3428.0,96000,266.67,7.78,1,1,0,1,1
Male,No,0,Graduate,No,2500,0.0,96,480,1,Semiurban,N,2500.0,96000,200.0,8.0,1,0,0,1,0
Male,Yes,0,Graduate,No,14880,0.0,96,360,1,Semiurban,Y,14880.0,96000,266.67,1.79,1,1,0,1,1
Male,Yes,2,Graduate,No,3859,0.0,96,360,1,Semiurban,Y,3859.0,96000,266.67,6.91,1,1,0,1,1
Male,No,0,Not Graduate,No,2699,2785.0,96,360,1,Semiurban,Y,5484.0,96000,266.67,4.86,1,0,0,0,1
Male,No,0,Graduate,No,3583,0.0,96,360,1,Urban,N,3583.0,96000,266.67,7.44,1,0,0,1,0
Male,Yes,2,Graduate,No,2708,1167.0,97,360,1,Semiurban,Y,3875.0,97000,269.44,6.95,1,1,0,1,1
Male,Yes,2,Not Graduate,Yes,1875,1875.0,97,360,1,Semiurban,Y,3750.0,97000,269.44,7.19,1,1,1,0,1
Male,Yes,0,Not Graduate,No,1863,1041.0,98,360,1,Semiurban,Y,2904.0,98000,272.22,9.37,1,1,0,0,1
Male,No,0,Graduate,No,2935,0.0,98,360,1,Semiurban,Y,2935.0,98000,272.22,9.27,1,0,0,1,1
Male,No,0,Graduate,No,4166,0.0,98,360,0,Semiurban,N,4166.0,98000,272.22,6.53,1,0,0,1,0
Female,Yes,2,Not Graduate,Yes,210,2917.0,98,360,1,Semiurban,Y,3127.0,98000,272.22,8.71,0,1,1,0,1
Male,Yes,4,Graduate,No,3029,0.0,99,360,1,Urban,Y,3029.0,99000,275.0,9.08,1,1,0,1,1
Male,Yes,2,Not Graduate,No,3333,2000.0,99,360,1,Semiurban,Y,5333.0,99000,275.0,5.16,1,1,0,0,1
Female,No,0,Graduate,Yes,2600,1717.0,99,300,1,Semiurban,N,4317.0,99000,330.0,7.64,0,0,1,1,0
Female,No,0,Graduate,No,2138,0.0,99,360,0,Semiurban,N,2138.0,99000,275.0,12.86,0,0,0,1,0
Male,No,1,Not Graduate,No,3596,0.0,100,240,1,Urban,Y,3596.0,100000,416.67,11.59,1,0,0,0,1
Male,Yes,0,Graduate,No,1828,1330.0,100,120,0,Urban,N,3158.0,100000,833.33,26.39,1,1,0,1,0
Female,Yes,0,Not Graduate,No,1928,1644.0,100,360,1,Semiurban,Y,3572.0,100000,277.78,7.78,0,1,0,0,1
Male,Yes,1,Graduate,No,3052,1030.0,100,360,1,Urban,Y,4082.0,100000,277.78,6.8,1,1,0,1,1
Female,Yes,0,Graduate,No,2330,4486.0,100,360,1,Semiurban,Y,6816.0,100000,277.78,4.08,0,1,0,1,1
Male,Yes,4,Not Graduate,No,3850,983.0,100,360,1,Semiurban,Y,4833.0,100000,277.78,5.75,1,1,0,0,1
Male,Yes,0,Not Graduate,No,3000,1666.0,100,480,0,Urban,N,4666.0,100000,208.33,4.46,1,1,0,0,0
Male,Yes,2,Graduate,No,4566,0.0,100,360,1,Urban,N,4566.0,100000,277.78,6.08,1,1,0,1,0
Male,Yes,0,Graduate,No,1820,1719.0,100,360,1,Urban,Y,3539.0,100000,277.78,7.85,1,1,0,1,1
Male,No,0,Graduate,No,3750,0.0,100,360,1,Urban,Y,3750.0,100000,277.78,7.41,1,0,0,1,1
Male,Yes,4,Graduate,No,4691,0.0,100,360,1,Semiurban,Y,4691.0,100000,277.78,5.92,1,1,0,1,1
Female,No,0,Graduate,No,3159,0.0,100,360,1,Semiurban,Y,3159.0,100000,277.78,8.79,0,0,0,1,1
Male,No,0,Not Graduate,No,3598,1287.0,100,360,1,Rural,N,4885.0,100000,277.78,5.69,1,0,0,0,0
Male,Yes,4,Graduate,Yes,5677,1424.0,100,360,1,Rural,Y,7101.0,100000,277.78,3.91,1,1,1,1,1
Male,Yes,4,Graduate,No,4281,0.0,100,360,1,Urban,Y,4281.0,100000,277.78,6.49,1,1,0,1,1
Male,Yes,2,Graduate,No,2045,1619.0,101,360,1,Rural,Y,3664.0,101000,280.56,7.66,1,1,0,1,1
Male,No,0,Graduate,No,4895,0.0,102,360,1,Semiurban,Y,4895.0,102000,283.33,5.79,1,0,0,1,1
Male,No,0,Not Graduate,No,2333,1451.0,102,480,0,Urban,N,3784.0,102000,212.5,5.62,1,0,0,0,0
Female,Yes,0,Not Graduate,No,3017,663.0,102,360,1,Semiurban,Y,3680.0,102000,283.33,7.7,0,1,0,0,1
Female,No,0,Graduate,No,1500,1800.0,103,360,0,Semiurban,N,3300.0,103000,286.11,8.67,0,0,0,1,0
Male,No,0,Graduate,No,2500,20000.0,103,360,1,Semiurban,Y,22500.0,103000,286.11,1.27,1,0,0,1,1
Female,No,0,Graduate,No,5000,0.0,103,360,0,Semiurban,N,5000.0,103000,286.11,5.72,0,0,0,1,0
Male,Yes,0,Not Graduate,No,7660,0.0,104,360,0,Urban,N,7660.0,104000,288.89,3.77,1,1,0,0,0
Male,Yes,0,Graduate,No,2500,2118.0,104,360,1,Semiurban,Y,4618.0,104000,288.89,6.26,1,1,0,1,1
Male,Yes,1,Graduate,No,2491,2054.0,104,360,1,Semiurban,Y,4545.0,104000,288.89,6.36,1,1,0,1,1
Male,No,0,Not Graduate,Yes,2583,2167.0,104,360,1,Rural,Y,4750.0,104000,288.89,6.08,1,0,1,0,1
Female,No,0,Graduate,No,2400,1863.0,104,360,0,Urban,N,4263.0,104000,288.89,6.78,0,0,0,1,0
Male,Yes,0,Graduate,No,3166,2064.0,104,360,0,Urban,N,5230.0,104000,288.89,5.52,1,1,0,1,0
Male,Yes,0,Graduate,No,2297,1522.0,104,360,1,Urban,Y,3819.0,104000,288.89,7.56,1,1,0,1,1
Male,Yes,2,Not Graduate,No,2875,1750.0,105,360,1,Semiurban,Y,4625.0,105000,291.67,6.31,1,1,0,0,1
Female,Yes,0,Graduate,Yes,5500,0.0,105,360,0,Rural,N,5500.0,105000,291.67,5.3,0,1,1,1,0
Male,No,0,Graduate,No,6500,0.0,105,360,0,Rural,N,6500.0,105000,291.67,4.49,1,0,0,1,0
Female,Yes,1,Graduate,No,3326,913.0,105,84,1,Semiurban,Y,4239.0,105000,1250.0,29.49,0,1,0,1,1
Male,No,1,Graduate,Yes,4692,0.0,106,360,1,Rural,N,4692.0,106000,294.44,6.28,1,0,1,1,0
Male,Yes,2,Graduate,Yes,2726,0.0,106,360,0,Semiurban,N,2726.0,106000,294.44,10.8,1,1,1,1,0
Male,Yes,0,Not Graduate,No,2600,1700.0,107,360,1,Rural,Y,4300.0,107000,297.22,6.91,1,1,0,0,1
Male,No,2,Graduate,No,3617,0.0,107,360,1,Semiurban,Y,3617.0,107000,297.22,8.22,1,0,0,1,1
Male,Yes,1,Graduate,No,1782,2232.0,107,360,1,Rural,Y,4014.0,107000,297.22,7.4,1,1,0,1,1
Female,Yes,0,Graduate,No,3625,0.0,108,360,1,Semiurban,Y,3625.0,108000,300.0,8.28,0,1,0,1,1
Male,Yes,2,Graduate,Yes,6250,1300.0,108,360,1,Rural,Y,7550.0,108000,300.0,3.97,1,1,1,1,1
Male,Yes,2,Not Graduate,No,3675,242.0,108,360,1,Semiurban,Y,3917.0,108000,300.0,7.66,1,1,0,0,1
Male,Yes,2,Graduate,No,3159,461.0,108,84,1,Urban,Y,3620.0,108000,1285.71,35.52,1,1,0,1,1
Male,Yes,0,Graduate,No,3232,1950.0,108,360,1,Rural,Y,5182.0,108000,300.0,5.79,1,1,0,1,1
Male,Yes,2,Graduate,No,2500,1840.0,109,360,1,Urban,Y,4340.0,109000,302.78,6.98,1,1,0,1,1
Male,No,0,Not Graduate,No,3902,1666.0,109,360,1,Rural,Y,5568.0,109000,302.78,5.44,1,0,0,0,1
Male,Yes,2,Not Graduate,No,4226,1040.0,110,360,1,Urban,Y,5266.0,110000,305.56,5.8,1,1,0,0,1
Male,No,0,Not Graduate,No,3748,1668.0,110,360,1,Semiurban,Y,5416.0,110000,305.56,5.64,1,0,0,0,1
Male,Yes,1,Graduate,Yes,1000,3022.0,110,360,1,Urban,N,4022.0,110000,305.56,7.6,1,1,1,1,0
Male,Yes,4,Graduate,No,4416,1250.0,110,360,1,Urban,Y,5666.0,110000,305.56,5.39,1,1,0,1,1
Female,Yes,0,Graduate,No,4333,2451.0,110,360,1,Urban,N,6784.0,110000,305.56,4.5,0,1,0,1,0
Female,No,0,Graduate,No,2764,1459.0,110,360,1,Urban,Y,4223.0,110000,305.56,7.24,0,0,0,1,1
Male,Yes,0,Not Graduate,No,2253,2033.0,110,360,1,Rural,Y,4286.0,110000,305.56,7.13,1,1,0,0,1
Male,Yes,1,Graduate,No,7250,1667.0,110,120,0,Urban,N,8917.0,110000,916.67,10.28,1,1,0,1,0
Male,Yes,2,Not Graduate,No,4652,0.0,110,360,1,Rural,Y,4652.0,110000,305.56,6.57,1,1,0,0,1
Male,Yes,0,Graduate,No,16692,0.0,110,360,1,Semiurban,Y,16692.0,110000,305.56,1.83,1,1,0,1,1
Male,Yes,0,Graduate,No,4333,2451.0,110,360,1,Urban,N,6784.0,110000,305.56,4.5,1,1,0,1,0
Male,No,0,Not Graduate,No,3691,0.0,110,360,1,Rural,Y,3691.0,110000,305.56,8.28,1,0,0,0,1
Male,Yes,0,Graduate,No,3775,0.0,110,360,1,Semiurban,Y,3775.0,110000,305.56,8.09,1,1,0,1,1
Male,No,2,Graduate,No,3588,0.0,110,360,0,Rural,N,3588.0,110000,305.56,8.52,1,0,0,1,0
Male,Yes,0,Graduate,No,2785,2016.0,110,360,1,Rural,Y,4801.0,110000,305.56,6.36,1,1,0,1,1
Male,No,0,Graduate,No,3229,2739.0,110,360,1,Urban,Y,5968.0,110000,305.56,5.12,1,0,0,1,1
Male,No,0,Not Graduate,No,3833,0.0,110,360,1,Rural,Y,3833.0,110000,305.56,7.97,1,0,0,0,1
Female,No,0,Graduate,No,3846,0.0,111,360,1,Semiurban,Y,3846.0,111000,308.33,8.02,0,0,0,1,1
Male,No,0,Not Graduate,No,2927,2405.0,111,360,1,Semiurban,Y,5332.0,111000,308.33,5.78,1,0,0,0,1
Male,Yes,1,Not Graduate,No,3399,1640.0,111,180,1,Urban,Y,5039.0,111000,616.67,12.24,1,1,0,0,1
